file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_top_k_1_run_1.csv,440,109.09,47997.49
gpu_monitor_top_k_1_run_2.csv,439,109.57,48100.3
gpu_monitor_top_k_1_run_3.csv,438,109.66,48032.97
gpu_monitor_top_k_1_run_4.csv,437,109.8,47984.24
gpu_monitor_top_k_1_run_5.csv,437,109.61,47898.7
gpu_monitor_top_k_5_run_1.csv,452,110.0,49719.75
gpu_monitor_top_k_5_run_2.csv,453,109.71,49700.18
gpu_monitor_top_k_5_run_3.csv,460,108.75,50025.95
gpu_monitor_top_k_5_run_4.csv,453,109.46,49584.75
gpu_monitor_top_k_5_run_5.csv,456,109.58,49969.22
gpu_monitor_top_k_25_run_1.csv,459,109.86,50424.57
gpu_monitor_top_k_25_run_2.csv,457,109.85,50201.11
gpu_monitor_top_k_25_run_3.csv,459,109.8,50399.25
gpu_monitor_top_k_25_run_4.csv,464,108.89,50525.79
gpu_monitor_top_k_25_run_5.csv,460,109.81,50510.86
gpu_monitor_top_k_50_run_1.csv,459,109.97,50478.28
gpu_monitor_top_k_50_run_2.csv,459,109.75,50373.19
gpu_monitor_top_k_50_run_3.csv,460,109.8,50507.92
gpu_monitor_top_k_50_run_4.csv,465,108.78,50582.48
gpu_monitor_top_k_50_run_5.csv,458,109.97,50366.41
gpu_monitor_top_k_100_run_1.csv,461,109.57,50513.58
gpu_monitor_top_k_100_run_2.csv,463,109.22,50568.66
gpu_monitor_top_k_100_run_3.csv,465,109.08,50719.92
gpu_monitor_top_k_100_run_4.csv,465,108.82,50600.82
gpu_monitor_top_k_100_run_5.csv,459,110.01,50493.82
gpu_monitor_top_k_250_run_1.csv,469,108.73,50994.3
gpu_monitor_top_k_250_run_2.csv,464,109.92,51001.45
gpu_monitor_top_k_250_run_3.csv,468,109.31,51159.3
gpu_monitor_top_k_250_run_4.csv,466,109.4,50980.41
gpu_monitor_top_k_250_run_5.csv,469,108.96,51103.18
gpu_monitor_top_k_500_run_1.csv,462,109.87,50759.41
gpu_monitor_top_k_500_run_2.csv,462,109.48,50579.04
gpu_monitor_top_k_500_run_3.csv,463,109.52,50708.42
gpu_monitor_top_k_500_run_4.csv,463,109.53,50710.6
gpu_monitor_top_k_500_run_5.csv,466,109.25,50909.7
