file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_topp_0.3_run_1.csv,441,110.3,48640.93
gpu_monitor_topp_0.3_run_2.csv,443,109.96,48712.76
gpu_monitor_topp_0.3_run_3.csv,437,111.09,48544.19
gpu_monitor_topp_0.3_run_4.csv,443,109.66,48580.72
gpu_monitor_topp_0.3_run_5.csv,441,109.98,48502.84
gpu_monitor_topp_0.5_run_1.csv,443,110.74,49057.0
gpu_monitor_topp_0.5_run_2.csv,441,110.71,48821.66
gpu_monitor_topp_0.5_run_3.csv,442,110.72,48938.2
gpu_monitor_topp_0.5_run_4.csv,445,109.98,48938.93
gpu_monitor_topp_0.5_run_5.csv,443,110.5,48951.93
gpu_monitor_topp_0.7_run_1.csv,445,110.78,49299.1
gpu_monitor_topp_0.7_run_2.csv,443,111.02,49182.88
gpu_monitor_topp_0.7_run_3.csv,445,110.79,49303.35
gpu_monitor_topp_0.7_run_4.csv,448,109.91,49238.63
gpu_monitor_topp_0.7_run_5.csv,448,110.43,49474.33
gpu_monitor_topp_0.8_run_1.csv,447,109.97,49155.75
gpu_monitor_topp_0.8_run_2.csv,445,110.45,49150.81
gpu_monitor_topp_0.8_run_3.csv,450,109.74,49382.11
gpu_monitor_topp_0.8_run_4.csv,445,110.7,49259.45
gpu_monitor_topp_0.8_run_5.csv,448,110.17,49357.01
gpu_monitor_topp_0.9_run_1.csv,460,110.27,50724.7
gpu_monitor_topp_0.9_run_2.csv,456,110.86,50550.02
gpu_monitor_topp_0.9_run_3.csv,463,109.89,50877.77
gpu_monitor_topp_0.9_run_4.csv,458,110.62,50663.66
gpu_monitor_topp_0.9_run_5.csv,460,110.01,50603.19
gpu_monitor_topp_0.95_run_1.csv,454,110.33,50091.84
gpu_monitor_topp_0.95_run_2.csv,455,110.19,50135.08
gpu_monitor_topp_0.95_run_3.csv,455,110.19,50137.81
gpu_monitor_topp_0.95_run_4.csv,456,110.15,50227.13
gpu_monitor_topp_0.95_run_5.csv,457,110.22,50368.91
