timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/24 09:59:56.268, 0, 0, 36.33
2024/12/24 09:59:57.270, 0, 0, 36.30
2024/12/24 09:59:58.270, 0, 0, 36.41
2024/12/24 09:59:59.270, 0, 0, 36.40
2024/12/24 10:00:00.270, 0, 0, 36.08
2024/12/24 10:00:01.270, 0, 0, 36.51
2024/12/24 10:00:02.271, 0, 0, 36.30
2024/12/24 10:00:03.271, 0, 0, 36.40
2024/12/24 10:00:04.271, 0, 0, 36.50
2024/12/24 10:00:05.271, 0, 0, 36.02
2024/12/24 10:00:06.271, 0, 0, 36.12
2024/12/24 10:00:07.272, 0, 0, 36.21
2024/12/24 10:00:08.272, 0, 0, 36.50
2024/12/24 10:00:09.272, 0, 0, 36.50
2024/12/24 10:00:10.272, 0, 0, 36.40
2024/12/24 10:00:11.272, 0, 0, 36.40
2024/12/24 10:00:12.272, 0, 0, 36.40
2024/12/24 10:00:13.272, 0, 0, 36.50
2024/12/24 10:00:14.273, 0, 0, 36.50
2024/12/24 10:00:15.273, 0, 0, 36.21
2024/12/24 10:00:16.273, 0, 0, 36.40
2024/12/24 10:00:17.273, 0, 0, 36.21
2024/12/24 10:00:18.273, 0, 0, 36.60
2024/12/24 10:00:19.273, 0, 0, 36.40
2024/12/24 10:00:20.273, 0, 0, 36.30
2024/12/24 10:00:21.274, 0, 0, 36.21
2024/12/24 10:00:22.274, 0, 0, 36.42
2024/12/24 10:00:23.274, 0, 0, 38.21
2024/12/24 10:00:24.274, 0, 29, 36.21
2024/12/24 10:00:25.274, 0, 34, 37.10
2024/12/24 10:00:26.275, 0, 35, 36.89
2024/12/24 10:00:27.275, 0, 6, 36.89
2024/12/24 10:00:28.275, 0, 0, 36.21
2024/12/24 10:00:29.275, 0, 0, 36.30
2024/12/24 10:00:30.275, 0, 0, 36.13
2024/12/24 10:00:31.276, 0, 0, 36.33
2024/12/24 10:00:32.276, 0, 0, 36.33
2024/12/24 10:00:33.276, 0, 0, 36.01
2024/12/24 10:00:34.276, 0, 0, 36.30
2024/12/24 10:00:35.276, 0, 9, 36.81
2024/12/24 10:00:36.276, 0, 93, 104.86
2024/12/24 10:00:37.277, 0, 95, 99.13
2024/12/24 10:00:38.277, 0, 95, 111.99
2024/12/24 10:00:39.277, 0, 95, 111.54
2024/12/24 10:00:40.277, 0, 95, 104.58
2024/12/24 10:00:41.277, 0, 95, 107.97
2024/12/24 10:00:42.277, 0, 95, 111.33
2024/12/24 10:00:43.277, 0, 95, 99.96
2024/12/24 10:00:44.278, 0, 95, 102.95
2024/12/24 10:00:45.278, 0, 95, 111.54
2024/12/24 10:00:46.278, 0, 95, 100.87
2024/12/24 10:00:47.278, 0, 95, 106.67
2024/12/24 10:00:48.278, 0, 95, 104.99
2024/12/24 10:00:49.278, 0, 95, 99.88
2024/12/24 10:00:50.278, 0, 95, 109.98
2024/12/24 10:00:51.279, 0, 95, 108.33
2024/12/24 10:00:52.279, 0, 95, 111.56
2024/12/24 10:00:53.279, 0, 95, 113.65
2024/12/24 10:00:54.279, 0, 93, 108.89
2024/12/24 10:00:55.279, 0, 95, 110.71
2024/12/24 10:00:56.279, 0, 95, 103.26
2024/12/24 10:00:57.280, 0, 95, 99.76
2024/12/24 10:00:58.280, 0, 95, 104.28
2024/12/24 10:00:59.280, 0, 93, 100.13
2024/12/24 10:01:00.280, 0, 95, 111.46
2024/12/24 10:01:01.280, 0, 95, 105.10
2024/12/24 10:01:02.280, 0, 94, 101.92
2024/12/24 10:01:03.280, 0, 95, 108.89
2024/12/24 10:01:04.280, 0, 94, 99.87
2024/12/24 10:01:05.281, 0, 95, 104.67
2024/12/24 10:01:06.281, 0, 95, 102.59
2024/12/24 10:01:07.281, 0, 95, 107.68
2024/12/24 10:01:08.281, 0, 95, 107.27
2024/12/24 10:01:09.281, 0, 95, 105.66
2024/12/24 10:01:10.281, 0, 95, 108.53
2024/12/24 10:01:11.282, 0, 95, 100.72
2024/12/24 10:01:12.282, 0, 95, 102.60
2024/12/24 10:01:13.282, 0, 95, 100.93
2024/12/24 10:01:14.282, 0, 95, 112.13
2024/12/24 10:01:15.282, 0, 95, 110.09
2024/12/24 10:01:16.282, 0, 95, 108.28
2024/12/24 10:01:17.282, 0, 95, 108.06
2024/12/24 10:01:18.283, 0, 93, 108.59
2024/12/24 10:01:19.283, 0, 95, 113.20
2024/12/24 10:01:20.283, 0, 95, 113.50
2024/12/24 10:01:21.283, 0, 95, 108.58
2024/12/24 10:01:22.283, 0, 95, 99.27
2024/12/24 10:01:23.283, 0, 95, 106.18
2024/12/24 10:01:24.283, 0, 95, 107.89
2024/12/24 10:01:25.284, 0, 95, 107.89
